State,Pesticide,Count
Texas,Atrazine,243
Oklahoma,Atrazine,0
Missouri,Atrazine,213
Illinois,Atrazine,191
Indiana,Atrazine,68
Ohio,Atrazine,515
Louisiana,Atrazine,311
Mississippi,Atrazine,0
Alabama,Atrazine,265
Georgia,Atrazine,237
Florida,Atrazine,136
South Carolina,Atrazine,60
North Carolina,Atrazine,440
Virginia,Atrazine,210
Maryland,Atrazine,150
Pennsylvania,Atrazine,168
New York,Atrazine,658
Vermont,Atrazine,0
California,Atrazine,48
Oregon,Atrazine,4
Washington,Atrazine,59
Nebraska,Atrazine,127
Kansas,Atrazine,202
Minnesota,Atrazine,238
