State,Pesticide,Count
Texas,Desethyl atrazine,152
Oklahoma,Desethyl atrazine,0
Missouri,Desethyl atrazine,140
Illinois,Desethyl atrazine,190
Indiana,Desethyl atrazine,44
Ohio,Desethyl atrazine,461
Louisiana,Desethyl atrazine,228
Mississippi,Desethyl atrazine,0
Alabama,Desethyl atrazine,175
Georgia,Desethyl atrazine,147
Florida,Desethyl atrazine,109
South Carolina,Desethyl atrazine,10
North Carolina,Desethyl atrazine,434
Virginia,Desethyl atrazine,156
Maryland,Desethyl atrazine,122
Pennsylvania,Desethyl atrazine,167
New York,Desethyl atrazine,412
Vermont,Desethyl atrazine,0
California,Desethyl atrazine,28
Oregon,Desethyl atrazine,8
Washington,Desethyl atrazine,144
Nebraska,Desethyl atrazine,135
Kansas,Desethyl atrazine,177
Minnesota,Desethyl atrazine,203
