State,Pesticide,Count
Texas,Imidacloprid,3303
Oklahoma,Imidacloprid,0
Missouri,Imidacloprid,8
Illinois,Imidacloprid,24
Indiana,Imidacloprid,14
Ohio,Imidacloprid,2124
Louisiana,Imidacloprid,25
Mississippi,Imidacloprid,0
Alabama,Imidacloprid,3
Georgia,Imidacloprid,7
Florida,Imidacloprid,2344
South Carolina,Imidacloprid,3
North Carolina,Imidacloprid,176
Virginia,Imidacloprid,131
Maryland,Imidacloprid,1217
Pennsylvania,Imidacloprid,2
New York,Imidacloprid,3581
Vermont,Imidacloprid,0
California,Imidacloprid,4734
Oregon,Imidacloprid,3
Washington,Imidacloprid,1470
Nebraska,Imidacloprid,0
Kansas,Imidacloprid,2
Minnesota,Imidacloprid,1
