State,Pesticide,Count
Texas,Thiabendazole,3248
Oklahoma,Thiabendazole,0
Missouri,Thiabendazole,7
Illinois,Thiabendazole,0
Indiana,Thiabendazole,0
Ohio,Thiabendazole,2424
Louisiana,Thiabendazole,0
Mississippi,Thiabendazole,0
Alabama,Thiabendazole,0
Georgia,Thiabendazole,0
Florida,Thiabendazole,2752
South Carolina,Thiabendazole,0
North Carolina,Thiabendazole,285
Virginia,Thiabendazole,0
Maryland,Thiabendazole,1522
Pennsylvania,Thiabendazole,0
New York,Thiabendazole,3752
Vermont,Thiabendazole,0
California,Thiabendazole,6489
Oregon,Thiabendazole,4
Washington,Thiabendazole,1842
Nebraska,Thiabendazole,0
Kansas,Thiabendazole,0
Minnesota,Thiabendazole,0
