Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
AL0005083126PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
AL0005153123PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
AL0005153147PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
AL0005223080PAUS2,PA,204,Acephate,C,0.1121,0.0069,M,D,,X,H,O,999,2.0,0.1
AL0005303013PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
AL0010163143PMUS2,PM,930,Bifenthrin,O,0.009128,0.0006,M,M,,,H,O,999,1.0,0.05
AL0609253050PRUS2,PR,058,MGK-264,F,0.005,0.003,M,M,,QV,SM,O,818,7.0,NT
AL0610123123PRUS2,PR,058,MGK-264,F,0.005,0.003,M,M,,QV,SM,O,818,7.0,NT
AL0611283095PRUS2,PR,102,Carbaryl,E,0.0005,0.0003,M,LT,,Q,SM,O,818,62.0,5
AL0609253050PTUS2,PT,058,MGK-264,F,0.005,0.003,M,M,,QV,SM,O,818,7.0,NT
AL0610093111PTUS2,PT,070,Piperonyl butoxide,I,0.0075,0.0045,M,M,,Q,SM,O,818,7.0,3
AL0611283095PTUS2,PT,102,Carbaryl,E,0.0005,0.0003,M,LT,,Q,SM,O,818,62.0,5
AL0601095001WRMT1,WR,AED,Hydroxy atrazine,R,4.1,1.2,T,LT,,,H,O,811,62.0,
AL0601095001WRMT1,WR,305,Atrazine,R,2.2,0.66,T,LT,,,H,O,811,62.0,
AL0601095001WRMT1,WR,780,Tebuthiuron,F,0.89,0.21,T,LT,,,H,O,811,62.0,
AL0601095001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,0.6,0.36,T,LT,,Q,H,O,811,62.0,
AL0601095001WRMT1,WR,942,Prometon,R,0.58,0.17,T,LT,,,H,O,811,62.0,
AL0601095001WRMT1,WR,149,Simazine,R,8.4,0.71,T,LT,,,H,O,811,62.0,
AL0601095001WRMT1,WR,701,Fluometuron,A,7.0,4.2,T,LT,,Q,H,O,811,62.0,
AL0601095001WRMT1,WR,964,Desethyl atrazine,R,6.7,0.43,T,LT,,,H,O,811,62.0,
AL0601105002WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
AL0601105002WRNY1,WR,780,Tebuthiuron,F,3.4,0.6,T,LT,,,M,O,902,62.0,
AL0601105002WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
AL0601105002WRNY1,WR,ACB,Imazapyr,J,1.5,0.9,T,LT,,Q,M,O,902,62.0,
AL0601105002WRNY1,WR,305,Atrazine,R,12.0,2.3,T,T,,,H,O,901,34.0,
AL0601235001WRMT1,WR,AED,Hydroxy atrazine,R,5.3,1.2,T,LT,,,H,O,811,62.0,
AL0601235001WRMT1,WR,305,Atrazine,R,3.9,0.66,T,LT,,,H,O,811,62.0,
AL0601235001WRMT1,WR,ACB,Imazapyr,J,2.0,1.0,T,LT,,Q,H,O,811,62.0,
AL0601235001WRMT1,WR,026,"2,4-D",G,1.08,0.65,T,LT,,Q,H,O,811,62.0,
AL0601235001WRMT1,WR,780,Tebuthiuron,F,1.0,0.21,T,LT,,,H,O,811,62.0,
AL0601235001WRMT1,WR,942,Prometon,R,0.81,0.17,T,LT,,,H,O,811,62.0,
AL0601235001WRMT1,WR,149,Simazine,R,37.0,0.71,T,LT,,,H,O,811,62.0,
AL0601235001WRMT1,WR,785,Desisopropyl atrazine,R,11.0,3.1,T,LT,,,H,O,811,62.0,
AL0601235002WRNY1,WR,305,Atrazine,R,9.9,2.3,T,T,,,H,O,901,34.0,
AL0601235002WRNY1,WR,149,Simazine,R,6.3,3.8,T,T,,Q,H,O,901,34.0,
AL0601235002WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
AL0601235002WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
AL0601235002WRNY1,WR,780,Tebuthiuron,F,2.5,0.6,T,LT,,,M,O,902,62.0,
AL0601235002WRNY1,WR,701,Fluometuron,A,2.0,1.2,T,LT,,Q,M,O,902,62.0,
AL0602135001WRMT1,WR,780,Tebuthiuron,F,0.97,0.21,T,LT,,,H,O,811,62.0,
AL0602135001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,0.6,0.36,T,LT,,Q,H,O,811,62.0,
AL0602135001WRMT1,WR,942,Prometon,R,0.28,0.17,T,LT,,Q,H,O,811,62.0,
AL0602135001WRMT1,WR,149,Simazine,R,7.5,0.71,T,LT,,,H,O,811,62.0,
AL0602135001WRMT1,WR,964,Desethyl atrazine,R,6.0,0.43,T,LT,,,H,O,811,62.0,
AL0602135001WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62.0,
AL0602135001WRMT1,WR,305,Atrazine,R,4.4,0.66,T,LT,,,H,O,811,62.0,
AL0602135002WRNY1,WR,701,Fluometuron,A,2.0,1.2,T,LT,,Q,M,O,902,62.0,
AL0602135002WRNY1,WR,ACB,Imazapyr,J,1.5,0.9,T,LT,,Q,M,O,902,62.0,
AL0602135002WRNY1,WR,305,Atrazine,R,13.0,2.3,T,T,,,H,O,901,34.0,
AL0602135002WRNY1,WR,149,Simazine,R,13.0,3.8,T,T,,,H,O,901,34.0,
AL0602135002WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
AL0602135002WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
AL0602275001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,0.6,0.36,T,LT,,Q,H,O,811,62.0,
AL0602275001WRMT1,WR,942,Prometon,R,0.57,0.17,T,LT,,,H,O,811,62.0,
AL0602275001WRMT1,WR,964,Desethyl atrazine,R,7.9,0.43,T,LT,,,H,O,811,62.0,
AL0602275001WRMT1,WR,701,Fluometuron,A,7.0,4.2,T,LT,,Q,H,O,811,62.0,
AL0602275001WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62.0,
AL0602275001WRMT1,WR,149,Simazine,R,4.0,0.71,T,LT,,,H,O,811,62.0,
AL0602275001WRMT1,WR,305,Atrazine,R,2.8,0.66,T,LT,,,H,O,811,62.0,
AL0602275001WRMT1,WR,AED,Hydroxy atrazine,R,2.0,1.2,T,LT,,Q,H,O,811,62.0,
AL0602275002WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
AL0602275002WRNY1,WR,780,Tebuthiuron,F,2.3,0.6,T,LT,,,M,O,902,62.0,
AL0602275002WRNY1,WR,149,Simazine,R,17.0,3.8,T,T,,,H,O,901,34.0,
AL0602275002WRNY1,WR,305,Atrazine,R,7.7,2.3,T,T,,,H,O,901,34.0,
AL0602275002WRNY1,WR,701,Fluometuron,A,7.2,1.2,T,LT,,,M,O,902,62.0,
AL0603135001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,0.6,0.36,T,LT,,Q,H,O,811,62.0,
AL0603135001WRMT1,WR,942,Prometon,R,0.59,0.17,T,LT,,,H,O,811,62.0,
AL0603135001WRMT1,WR,026,"2,4-D",G,24.0,0.65,T,LT,,,H,O,811,62.0,
AL0603135001WRMT1,WR,964,Desethyl atrazine,R,7.5,0.43,T,LT,,,H,O,811,62.0,
AL0603135001WRMT1,WR,701,Fluometuron,A,7.0,4.2,T,LT,,Q,H,O,811,62.0,
AL0603135001WRMT1,WR,149,Simazine,R,5.7,0.71,T,LT,,,H,O,811,62.0,
AL0603135001WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62.0,
AL0603135001WRMT1,WR,AED,Hydroxy atrazine,R,5.1,1.2,T,LT,,,H,O,811,62.0,
AL0603135001WRMT1,WR,305,Atrazine,R,3.2,0.66,T,LT,,,H,O,811,62.0,
AL0603135002WRNY1,WR,026,"2,4-D",G,138.0,3.6,T,LT,,,M,O,902,62.0,
AL0603135002WRNY1,WR,149,Simazine,R,92.0,3.8,T,T,,,H,O,901,34.0,
AL0603135002WRNY1,WR,305,Atrazine,R,19.0,2.3,T,T,,,H,O,901,34.0,
AL0603135002WRNY1,WR,785,Desisopropyl atrazine,R,16.3,9.8,T,T,,Q,H,O,901,34.0,
AL0603135002WRNY1,WR,318,MCPA,G,12.0,7.2,T,LT,,Q,M,O,902,62.0,
AL0603135002WRNY1,WR,701,Fluometuron,A,8.6,1.2,T,LT,,,M,O,902,62.0,
AL0603275001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,0.6,0.36,T,LT,,Q,H,O,811,62.0,
AL0603275001WRMT1,WR,942,Prometon,R,0.28,0.17,T,LT,,Q,H,O,811,62.0,
AL0603275001WRMT1,WR,964,Desethyl atrazine,R,9.2,0.43,T,LT,,,H,O,811,62.0,
AL0603275001WRMT1,WR,305,Atrazine,R,9.2,0.66,T,LT,,,H,O,811,62.0,
AL0603275001WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62.0,
AL0603275001WRMT1,WR,149,Simazine,R,3.3,0.71,T,LT,,,H,O,811,62.0,
AL0603275001WRMT1,WR,AED,Hydroxy atrazine,R,2.0,1.2,T,LT,,Q,H,O,811,62.0,
AL0603275001WRMT1,WR,026,"2,4-D",G,1.08,0.65,T,LT,,Q,H,O,811,62.0,
AL0603275002WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
AL0603275002WRNY1,WR,701,Fluometuron,A,2.0,1.2,T,LT,,Q,M,O,902,62.0,
AL0603275002WRNY1,WR,149,Simazine,R,6.3,3.8,T,T,,Q,H,O,901,34.0,
AL0603275002WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
AL0603275002WRNY1,WR,305,Atrazine,R,3.8,2.3,T,T,,Q,H,O,901,34.0,
AL0604105002WRNY1,WR,780,Tebuthiuron,F,2.8,0.6,T,LT,,,M,O,902,62.0,
AL0604105002WRNY1,WR,701,Fluometuron,A,2.0,1.2,T,LT,,Q,M,O,902,62.0,
AL0604105002WRNY1,WR,026,"2,4-D",G,313.0,3.6,T,LT,,,M,O,902,62.0,
AL0604105002WRNY1,WR,305,Atrazine,R,185.0,2.3,T,T,,,H,O,901,34.0,
AL0604105002WRNY1,WR,149,Simazine,R,145.0,3.8,T,T,,,H,O,901,34.0,
AL0604105002WRNY1,WR,785,Desisopropyl atrazine,R,46.0,9.8,T,T,,,H,O,901,34.0,
AL0604105002WRNY1,WR,964,Desethyl atrazine,R,41.3,24.8,T,T,,Q,H,O,901,34.0,
AL0604105002WRNY1,WR,283,Metolachlor,A,20.0,3.0,T,T,,,H,O,901,34.0,
AL0604115001WRMT1,WR,149,Simazine,R,4.3,0.71,T,LT,,,H,O,811,62.0,
AL0604115001WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,2.7,1.6,T,LT,,Q,H,O,811,62.0,
AL0604115001WRMT1,WR,ACB,Imazapyr,J,2.0,1.0,T,LT,,Q,H,O,811,62.0,
AL0604115001WRMT1,WR,780,Tebuthiuron,F,1.1,0.21,T,LT,,,H,O,811,62.0,
AL0604115001WRMT1,WR,942,Prometon,R,0.86,0.17,T,LT,,,H,O,811,62.0,
AL0604115001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,0.6,0.36,T,LT,,Q,H,O,811,62.0,
AL0604115001WRMT1,WR,305,Atrazine,R,17.0,0.66,T,LT,,,H,O,811,62.0,
AL0604115001WRMT1,WR,964,Desethyl atrazine,R,10.0,0.43,T,LT,,,H,O,811,62.0,
AL0604115001WRMT1,WR,AED,Hydroxy atrazine,R,7.3,1.2,T,LT,,,H,O,811,62.0,
AL0604115001WRMT1,WR,026,"2,4-D",G,7.2,0.65,T,LT,,,H,O,811,62.0,
AL0604245001WRMT1,WR,942,Prometon,R,0.85,0.17,T,LT,,,H,O,811,62.0,
AL0604245001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,0.6,0.36,T,LT,,Q,H,O,811,62.0,
AL0604245001WRMT1,WR,305,Atrazine,R,28.0,0.66,T,LT,,,H,O,811,62.0,
AL0604245001WRMT1,WR,964,Desethyl atrazine,R,16.0,0.43,T,LT,,,H,O,811,62.0,
AL0604245001WRMT1,WR,785,Desisopropyl atrazine,R,12.0,3.1,T,LT,,,H,O,811,62.0,
AL0604245001WRMT1,WR,026,"2,4-D",G,12.0,0.65,T,LT,,,H,O,811,62.0,
AL0604245001WRMT1,WR,AED,Hydroxy atrazine,R,8.3,1.2,T,LT,,,H,O,811,62.0,
AL0604245001WRMT1,WR,701,Fluometuron,A,7.0,4.2,T,LT,,Q,H,O,811,62.0,
AL0604245001WRMT1,WR,149,Simazine,R,5.9,0.71,T,LT,,,H,O,811,62.0,
AL0604245001WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,2.7,1.6,T,LT,,Q,H,O,811,62.0,
AL0604245001WRMT1,WR,ACB,Imazapyr,J,2.0,1.0,T,LT,,Q,H,O,811,62.0,
AL0605085002WRNY1,WR,026,"2,4-D",G,45.0,3.6,T,LT,,,M,O,902,62.0,
AL0605085002WRNY1,WR,785,Desisopropyl atrazine,R,16.3,9.8,T,T,,Q,H,O,901,34.0,
AL0605085002WRNY1,WR,149,Simazine,R,16.0,3.8,T,T,,,H,O,901,34.0,
AL0605085002WRNY1,WR,780,Tebuthiuron,F,7.6,0.6,T,LT,,,M,O,902,62.0,
AL0605085002WRNY1,WR,283,Metolachlor,A,5.0,3.0,T,T,,Q,H,O,901,34.0,
