Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
GA0005013103PAUS2,PA,910,"DDE p,p'",A,0.004,0.0024,M,D,,Q,H,O,999,1.0,5 AL
GA0005013103PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
GA0005083022PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
GA0005153033PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
GA0005153069PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
GA0007103038PAUS2,PA,024,Diazinon,C,0.0454,0.0094,M,D,,V,H,O,999,2.0,NT
GA0010233038PAUS2,PA,024,Diazinon,C,0.0361,0.0094,M,D,,V,H,O,999,2.0,NT
GA0004183026PLUS2,PL,168,Aldicarb sulfone,E,0.0043,0.0022,M,D,P,V,H,O,999,12.0,NT
GA0006063032PLUS2,PL,195,Methiocarb,E,0.0059,0.0038,M,,,V,,O,999,12.0,NT
GA0010233038PLUS2,PL,024,Diazinon,C,0.0117,0.0094,M,D,,V,H,O,999,2.0,NT
GA0010233038PMUS2,PM,024,Diazinon,C,0.01944,0.0094,M,D,,V,H,O,999,2.0,NT
GA0108064074BAUS2C,BA,910,"DDE p,p'",A,0.0195,0.0027,M,D,,,H,O,999,1.0,5 AL
GA0108274031BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
GA0108304031BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
GA0110094031BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
GA0601053033PTUS2,PT,058,MGK-264,F,0.005,0.003,M,M,,QV,SM,O,818,7.0,NT
GA0604173029PRUS2,PR,102,Carbaryl,E,0.0005,0.0003,M,LT,,Q,SM,O,818,62.0,5
GA0608283033PRUS2,PR,070,Piperonyl butoxide,I,0.0075,0.0045,M,M,,Q,SM,O,818,7.0,3
GA0610233027PRUS2,PR,102,Carbaryl,E,0.001,0.0003,M,LT,,,SM,O,818,62.0,5
GA0601053033PTUS2,PT,070,Piperonyl butoxide,I,0.0075,0.0045,M,M,,Q,SM,O,818,7.0,3
GA0604173029PTUS2,PT,102,Carbaryl,E,0.0011,0.0003,M,LT,,,SM,O,818,62.0,5
GA0607133038PTUS2,PT,102,Carbaryl,E,0.0005,0.0003,M,LT,,Q,SM,O,818,62.0,5
GA0608033051PTUS2,PT,910,"DDE p,p'",A,0.0017,0.00045,M,M,,,SM,O,818,7.0,5 AL
GA0608143027PTUS2,PT,A82,Fipronil,A,0.001,0.0006,M,M,,Q,SM,O,818,7.0,0.02
GA0610233027PTUS2,PT,102,Carbaryl,E,0.0005,0.0003,M,LT,,Q,SM,O,818,62.0,5
GA0601095001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,1.6,0.36,T,LT,,,H,O,811,62.0,
GA0601095001WRMT1,WR,780,Tebuthiuron,F,1.4,0.21,T,LT,,,H,O,811,62.0,
GA0601095001WRMT1,WR,026,"2,4-D",G,1.08,0.65,T,LT,,Q,H,O,811,62.0,
GA0601095001WRMT1,WR,942,Prometon,R,1.0,0.17,T,LT,,,H,O,811,62.0,
GA0601095001WRMT1,WR,964,Desethyl atrazine,R,0.72,0.43,T,LT,,Q,H,O,811,62.0,
GA0601095001WRMT1,WR,ACB,Imazapyr,J,15.0,1.0,T,LT,,,H,O,811,62.0,
GA0601095001WRMT1,WR,032,Diuron,A,5.8,3.5,T,LT,,Q,H,O,811,62.0,
GA0601095001WRMT1,WR,149,Simazine,R,4.3,0.71,T,LT,,,H,O,811,62.0,
GA0601095001WRMT1,WR,305,Atrazine,R,2.9,0.66,T,LT,,,H,O,811,62.0,
GA0601235001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,1.5,0.36,T,LT,,,H,O,811,62.0,
GA0601235001WRMT1,WR,758,Bentazon,F,0.3,0.18,T,LT,,Q,H,O,811,62.0,
GA0601235001WRMT1,WR,149,Simazine,R,17.0,0.71,T,LT,,,H,O,811,62.0,
GA0601235001WRMT1,WR,032,Diuron,A,5.8,3.5,T,LT,,Q,H,O,811,62.0,
GA0601235001WRMT1,WR,305,Atrazine,R,5.4,0.66,T,LT,,,H,O,811,62.0,
GA0601235001WRMT1,WR,ACB,Imazapyr,J,5.3,1.0,T,LT,,,H,O,811,62.0,
GA0601235001WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62.0,
GA0601235001WRMT1,WR,026,"2,4-D",G,3.2,0.65,T,LT,,,H,O,811,62.0,
GA0601235001WRMT1,WR,942,Prometon,R,2.3,0.17,T,LT,,,H,O,811,62.0,
GA0601235001WRMT1,WR,780,Tebuthiuron,F,2.1,0.21,T,LT,,,H,O,811,62.0,
GA0601235001WRMT1,WR,AED,Hydroxy atrazine,R,2.0,1.2,T,LT,,Q,H,O,811,62.0,
GA0602135001WRMT1,WR,758,Bentazon,F,0.3,0.18,T,LT,,Q,H,O,811,62.0,
GA0602135001WRMT1,WR,149,Simazine,R,41.0,0.71,T,LT,,,H,O,811,62.0,
GA0602135001WRMT1,WR,032,Diuron,A,5.8,3.5,T,LT,,Q,H,O,811,62.0,
GA0602135001WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62.0,
GA0602135001WRMT1,WR,305,Atrazine,R,4.3,0.66,T,LT,,,H,O,811,62.0,
GA0602135001WRMT1,WR,ACB,Imazapyr,J,4.2,1.0,T,LT,,,H,O,811,62.0,
GA0602135001WRMT1,WR,026,"2,4-D",G,3.0,0.65,T,LT,,,H,O,811,62.0,
GA0602135001WRMT1,WR,731,Triclopyr,G,2.7,1.6,T,LT,,Q,H,O,811,62.0,
GA0602135001WRMT1,WR,AED,Hydroxy atrazine,R,2.0,1.2,T,LT,,Q,H,O,811,62.0,
GA0602135001WRMT1,WR,942,Prometon,R,2.0,0.17,T,LT,,,H,O,811,62.0,
GA0602135001WRMT1,WR,780,Tebuthiuron,F,1.8,0.21,T,LT,,,H,O,811,62.0,
GA0602135001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,1.6,0.36,T,LT,,,H,O,811,62.0,
GA0602275001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,1.4,0.36,T,LT,,,H,O,811,62.0,
GA0602275001WRMT1,WR,149,Simazine,R,52.0,0.71,T,LT,,,H,O,811,62.0,
GA0602275001WRMT1,WR,758,Bentazon,F,0.3,0.18,T,LT,,Q,H,O,811,62.0,
GA0602275001WRMT1,WR,305,Atrazine,R,16.0,0.66,T,LT,,,H,O,811,62.0,
GA0602275001WRMT1,WR,032,Diuron,A,5.8,3.5,T,LT,,Q,H,O,811,62.0,
GA0602275001WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62.0,
GA0602275001WRMT1,WR,ACB,Imazapyr,J,5.1,1.0,T,LT,,,H,O,811,62.0,
GA0602275001WRMT1,WR,026,"2,4-D",G,4.3,0.65,T,LT,,,H,O,811,62.0,
