Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
IL0109034014BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
IL0111124014BAUS2H,BA,910,"DDE p,p'",A,0.029,0.0027,M,D,,,H,O,999,1.0,5 AL
IL0112174041BAUS2H,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
IL0108274014BAUS2S,BA,028,Dieldrin,A,0.0057,0.0013,M,D,,,H,O,999,1.0,0.3 AL
IL0109034014BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
IL0109244014BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
IL0109244014BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
IL0111124014BAUS2H,BA,028,Dieldrin,A,0.0066,0.0013,M,D,,,H,O,999,1.0,0.3 AL
IL0111264014BAUS2S,BA,028,Dieldrin,A,0.0114,0.0013,M,D,,,H,O,999,1.0,0.3 AL
IL0112034014BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
IL0112174041BAUS2H,BA,143,Heptachlor epoxide,A,0.0013,0.0008,M,D,,Q,H,O,999,1.0,0.2 AL
IL0202044014BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65.0,5 AL
IL0203044014BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65.0,0.3 AL
IL0204154014BAUS2H,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65.0,0.3 AL
IL0712035501WGMN1,WG,784,Desethyl-desisopropyl atrazine,R,69.0,15.0,T,LU,,,H,O,999,52.0,
IL0901204014BAUS2S,BA,910,"DDE p,p'",A,0.004,0.002,M,M,,,,O,818,7.0,5 AL
IL0901135001WRNY1,WR,964,Desethyl atrazine,R,41.3,24.8,T,GI,,Q,,O,901,73.0,
IL0901135001WRNY1,WR,283,Metolachlor,A,40.0,3.0,T,GI,,,,O,901,73.0,
IL0901135001WRNY1,WR,785,Desisopropyl atrazine,R,16.3,9.8,T,GI,,Q,,O,901,73.0,
IL0901135001WRNY1,WR,026,"2,4-D",G,13.0,3.6,T,LU,,,,O,902,52.0,
IL0901135001WRNY1,WR,ABQ,Alachlor oxanilic acid (OA),A,8.0,4.8,T,LU,,Q,,O,902,52.0,
IL0901135001WRNY1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,8.0,4.8,T,LU,,Q,,O,902,52.0,
