Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
IN0501254531KMUS2G,KM,102,Carbaryl,E,0.0014,0.0003,M,LT,,,SM,O,818,62.0,0.1
IN0701085001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0701085001WRCO1,WR,305,Atrazine,R,42.0,25.0,T,M,,Q,H,O,901,7.0,
IN0701085001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,344.0,45.0,T,LL,,,M,O,903,64.0,
IN0701085001WRCO1,WR,149,Simazine,R,123.0,15.0,T,M,,,H,O,901,7.0,
IN0701225001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0701225001WRCO1,WR,305,Atrazine,R,42.0,25.0,T,M,,Q,H,O,901,7.0,
IN0701225001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,367.0,45.0,T,LL,,,M,O,903,64.0,
IN0701225001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,138.0,45.0,T,LL,,,M,O,903,64.0,
IN0702125001WRCO1,WR,964,Desethyl atrazine,R,42.0,25.0,T,M,,Q,H,O,901,7.0,
IN0702125001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,717.0,45.0,T,LL,,,M,O,903,64.0,
IN0702125001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,276.0,45.0,T,LL,,,M,O,903,64.0,
IN0702125001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0702125001WRCO1,WR,149,Simazine,R,72.0,15.0,T,M,,,H,O,901,7.0,
IN0702265001WRCO1,WR,964,Desethyl atrazine,R,42.0,25.0,T,M,,Q,H,O,901,7.0,
IN0702265001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,268.0,45.0,T,LL,,,M,O,903,64.0,
IN0702265001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,178.0,45.0,T,LL,,,M,O,903,64.0,
IN0702265001WRCO1,WR,149,Simazine,R,101.0,15.0,T,M,,,H,O,901,7.0,
IN0702265001WRCO1,WR,ABQ,Alachlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0702265001WRCO1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0702265001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0703125001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0703125001WRCO1,WR,305,Atrazine,R,42.0,25.0,T,M,,Q,H,O,901,7.0,
IN0703125001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,692.0,45.0,T,LL,,,M,O,903,64.0,
IN0703265001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,180.0,45.0,T,LL,,,M,O,903,64.0,
IN0703265001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0704065001WRCO1,WR,305,Atrazine,R,42.0,25.0,T,M,,Q,H,O,901,7.0,
IN0704065001WRCO1,WR,149,Simazine,R,25.0,15.0,T,M,,Q,H,O,901,7.0,
IN0704065001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,615.0,45.0,T,LL,,,M,O,903,64.0,
IN0704065001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,186.0,45.0,T,LL,,,M,O,903,64.0,
IN0704065001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0704235001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,687.0,45.0,T,LL,,,M,O,903,64.0,
IN0704235001WRCO1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,254.0,45.0,T,LL,,,M,O,903,64.0,
IN0704235001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0704235001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0705075001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0705075001WRCO1,WR,964,Desethyl atrazine,R,42.0,25.0,T,M,,Q,H,O,901,7.0,
IN0705075001WRCO1,WR,283,Metolachlor,A,1056.0,45.0,T,LL,,,M,O,903,64.0,
IN0705075001WRCO1,WR,305,Atrazine,R,860.0,25.0,T,M,,,H,O,901,7.0,
IN0705075001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,393.0,45.0,T,LL,,,M,O,903,64.0,
IN0705075001WRCO1,WR,026,"2,4-D",G,277.0,90.0,T,LL,,,M,O,902,52.0,
IN0705075001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,243.0,45.0,T,LL,,,M,O,903,64.0,
IN0705075001WRCO1,WR,807,Acetochlor,A,193.0,45.0,T,LL,,,M,O,903,64.0,
IN0705075001WRCO1,WR,B30,Flufenacet,A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0705215001WRCO1,WR,026,"2,4-D",G,150.0,90.0,T,LL,,Q,M,O,902,52.0,
IN0705215001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0705215001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,444.0,45.0,T,LL,,,M,O,903,64.0,
IN0705215001WRCO1,WR,283,Metolachlor,A,197.0,45.0,T,LL,,,M,O,903,64.0,
IN0705215001WRCO1,WR,305,Atrazine,R,191.0,25.0,T,M,,,H,O,901,7.0,
IN0706045001WRCO1,WR,305,Atrazine,R,30.0,25.0,T,M,,,H,O,901,7.0,
IN0706185001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,328.0,45.0,T,LL,,,M,O,903,64.0,
IN0706185001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,246.0,45.0,T,LL,,,M,O,903,64.0,
IN0706185001WRCO1,WR,305,Atrazine,R,540.0,25.0,T,M,,,H,O,901,7.0,
IN0707095001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,288.0,45.0,T,LL,,,M,O,903,64.0,
IN0707095001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,149.0,45.0,T,LL,,,M,O,903,64.0,
IN0707235001WRCO1,WR,ACP,Sulfometuron methyl,K,25.0,15.0,T,LL,,Q,M,O,902,67.0,
IN0707235001WRCO1,WR,780,Tebuthiuron,F,17.0,10.0,T,LL,,Q,M,O,902,67.0,
IN0707235001WRCO1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,982.0,45.0,T,LL,,,M,O,903,64.0,
IN0707235001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,950.0,45.0,T,LL,,,M,O,903,64.0,
IN0707235001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,315.0,45.0,T,LL,,,M,O,903,64.0,
IN0707235001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,220.0,45.0,T,LL,,,M,O,903,64.0,
IN0708065001WRCO1,WR,026,"2,4-D",G,150.0,90.0,T,LL,,Q,M,O,902,52.0,
IN0708065001WRCO1,WR,283,Metolachlor,A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0708065001WRCO1,WR,731,Triclopyr,G,566.0,43.0,T,LL,,,M,O,902,52.0,
IN0708065001WRCO1,WR,305,Atrazine,R,189.0,25.0,T,M,,,H,O,901,7.0,
IN0708065001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,184.0,45.0,T,LL,,,M,O,903,64.0,
IN0708065001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,184.0,45.0,T,LL,,,M,O,903,64.0,
IN0708205001WRCO1,WR,283,Metolachlor,A,291.0,45.0,T,LL,,,M,O,903,64.0,
IN0708205001WRCO1,WR,026,"2,4-D",G,150.0,90.0,T,LL,,Q,M,O,902,52.0,
IN0708205001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,969.0,45.0,T,LL,,,M,O,903,64.0,
IN0708205001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,921.0,45.0,T,LL,,,M,O,903,64.0,
IN0708205001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,773.0,45.0,T,LL,,,M,O,903,64.0,
IN0709105001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,364.0,45.0,T,LL,,,M,O,903,64.0,
IN0709105001WRCO1,WR,026,"2,4-D",G,150.0,90.0,T,LL,,Q,M,O,902,52.0,
IN0709105001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,770.0,45.0,T,LL,,,M,O,903,64.0,
IN0709245001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,410.0,45.0,T,LL,,,M,O,903,64.0,
IN0709245001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,320.0,45.0,T,LL,,,M,O,903,64.0,
IN0710155001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,200.0,45.0,T,LL,,,M,O,903,64.0,
IN0710155001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0710295001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0710295001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0710295001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,260.0,45.0,T,LL,,,M,O,903,64.0,
IN0711125001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0711125001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0711265001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,680.0,45.0,T,LL,,,M,O,903,64.0,
IN0711265001WRCO1,WR,283,Metolachlor,A,320.0,45.0,T,LL,,,M,O,903,64.0,
IN0711265001WRCO1,WR,026,"2,4-D",G,3830.0,90.0,T,LL,,,M,O,902,52.0,
IN0711265001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,1860.0,45.0,T,LL,,,M,O,903,64.0,
IN0712035001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,1020.0,45.0,T,LL,,,M,O,903,64.0,
IN0712035001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,520.0,45.0,T,LL,,,M,O,903,64.0,
IN0712175001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,730.0,45.0,T,LL,,,M,O,903,64.0,
IN0712175001WRCO1,WR,ABO,Acetochlor oxanilic acid (OA),A,360.0,45.0,T,LL,,,M,O,903,64.0,
IN0712175001WRCO1,WR,026,"2,4-D",G,1849.0,90.0,T,LL,,,M,O,902,52.0,
IN0701085001WUCO1,WU,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0701085001WUCO1,WU,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0701085001WUCO1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,483.0,45.0,T,LL,,,M,O,903,64.0,
IN0701085001WUCO1,WU,ABN,Acetochlor ethanesulfonic acid (ESA),A,432.0,45.0,T,LL,,,M,O,903,64.0,
IN0701085001WUCO1,WU,149,Simazine,R,409.0,15.0,T,M,,,H,O,901,7.0,
IN0701225001WUCO1,WU,ACH,Metolachlor oxanilic acid (OA),A,283.0,45.0,T,LL,,,M,O,903,64.0,
IN0701225001WUCO1,WU,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0702125001WUCO1,WU,ACH,Metolachlor oxanilic acid (OA),A,223.0,45.0,T,LL,,,M,O,903,64.0,
IN0702125001WUCO1,WU,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0702265001WUCO1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,293.0,45.0,T,LL,,,M,O,903,64.0,
IN0702265001WUCO1,WU,ACH,Metolachlor oxanilic acid (OA),A,184.0,45.0,T,LL,,,M,O,903,64.0,
IN0703125001WUCO1,WU,ACH,Metolachlor oxanilic acid (OA),A,153.0,45.0,T,LL,,,M,O,903,64.0,
IN0703125001WUCO1,WU,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
IN0703265001WUCO1,WU,ACH,Metolachlor oxanilic acid (OA),A,336.0,45.0,T,LL,,,M,O,903,64.0,
IN0703265001WUCO1,WU,ABO,Acetochlor oxanilic acid (OA),A,75.0,45.0,T,LL,,Q,M,O,903,64.0,
