Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
KS0107304002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
KS0110094003BAUS2S,BA,028,Dieldrin,A,0.009,0.0013,M,D,,,H,O,999,1.0,0.3 AL
KS0106254001BAUS2H,BA,028,Dieldrin,A,0.0056,0.0013,M,D,,,H,O,999,1.0,0.3 AL
KS0107094001BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
KS0107164001BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
KS0107164013BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
KS0107234001BAUS2H,BA,910,"DDE p,p'",A,0.014,0.0027,M,D,,,H,O,999,1.0,5 AL
KS0107234003BAUS2S,BA,910,"DDE p,p'",A,0.039,0.0027,M,D,,,H,O,999,1.0,5 AL
KS0107234013BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
KS0107304001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
KS0107304002BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
KS0108064002BAUS2S,BA,028,Dieldrin,A,0.007,0.0013,M,D,,,H,O,999,1.0,0.3 AL
KS0108064003BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
KS0108204001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
KS0108204003BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
