Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
LA0005083131PAUS2,PA,910,"DDE p,p'",A,0.004,0.0024,M,D,,Q,H,O,999,1.0,5 AL
LA0005083131PAUS2,PA,028,Dieldrin,A,0.0048,0.0029,M,D,,Q,H,O,999,1.0,0.3 AL
LA0501245001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0501245001WRCO1,WR,305,Atrazine,R,834.0,5.0,T,M ,,,H ,O,901,7.0,
LA0502145001WRCO1,WR,964,Desethyl atrazine,R,252.0,25.0,T,M ,,,H ,O,901,7.0,
LA0502285001WRCO1,WR,249,Prometryn,R,73.0,15.0,T,M ,,,H ,O,901,7.0,
LA0502285001WRCO1,WR,305,Atrazine,R,58.0,5.0,T,M ,,,H ,O,901,7.0,
LA0502285001WRCO1,WR,964,Desethyl atrazine,R,397.0,25.0,T,M ,,,H ,O,901,7.0,
LA0503145001WRCO1,WR,249,Prometryn,R,89.0,15.0,T,M ,,,H ,O,901,7.0,
LA0503145001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0503145001WRCO1,WR,964,Desethyl atrazine,R,861.0,25.0,T,M ,,,H ,O,901,7.0,
LA0503145001WRCO1,WR,305,Atrazine,R,536.0,5.0,T,M ,,,H ,O,901,7.0,
LA0503285001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0503285001WRCO1,WR,249,Prometryn,R,64.0,15.0,T,M ,,,H ,O,901,7.0,
LA0503285001WRCO1,WR,305,Atrazine,R,642.0,5.0,T,M ,,,H ,O,901,7.0,
LA0504045001WRCO1,WR,305,Atrazine,R,317.0,5.0,T,M ,,,H ,O,901,7.0,
LA0504115001WRCO1,WR,964,Desethyl atrazine,R,144.0,25.0,T,M ,,,H ,O,901,7.0,
LA0504115001WRCO1,WR,249,Prometryn,R,56.0,15.0,T,M ,,,H ,O,901,7.0,
LA0504185001WRCO1,WR,964,Desethyl atrazine,R,177.0,25.0,T,M ,,,H ,O,901,7.0,
LA0504185001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0504255001WRCO1,WR,964,Desethyl atrazine,R,195.0,25.0,T,M ,,,H ,O,901,7.0,
LA0504255001WRCO1,WR,249,Prometryn,R,81.0,15.0,T,M ,,,H ,O,901,7.0,
LA0505025001WRCO1,WR,249,Prometryn,R,86.0,15.0,T,M ,,,H ,O,901,7.0,
LA0505025001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0505025001WRCO1,WR,305,Atrazine,R,583.0,5.0,T,M ,,,H ,O,901,7.0,
LA0505095001WRCO1,WR,964,Desethyl atrazine,R,181.0,25.0,T,M ,,,H ,O,901,7.0,
LA0505095001WRCO1,WR,942,Prometon,R,83.0,50.0,T,M ,,Q ,H ,O,901,7.0,
LA0505165001WRCO1,WR,964,Desethyl atrazine,R,151.0,25.0,T,M ,,,H ,O,901,7.0,
LA0505165001WRCO1,WR,283,Metolachlor,A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0505235001WRCO1,WR,964,Desethyl atrazine,R,129.0,25.0,T,M ,,,H ,O,901,7.0,
LA0505235001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0505315001WRCO1,WR,964,Desethyl atrazine,R,131.0,25.0,T,M ,,,H ,O,901,7.0,
LA0505315001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0506065001WRCO1,WR,964,Desethyl atrazine,R,124.0,25.0,T,M ,,,H ,O,901,7.0,
LA0506065001WRCO1,WR,ACH,Metolachlor oxanilic acid (OA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0506065001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
LA0506065001WRCO1,WR,283,Metolachlor,A,75.0,45.0,T,I ,,Q ,H ,O,903,64.0,
