Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
MD9706110002AJCA1,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,H,O,550.0,7.0,10
MD9706110002AJCA1,AJ,157,Thiabendazole,B,0.05,0.03,M,MO,,Q,H,O,550.0,7.0,10
MD9711100002AJCA1,AJ,157,Thiabendazole,B,0.05,0.03,M,I,M,Q,H,O,550.0,7.0,10
MD9704020001AJCA1,AJ,171,Dimethoate,C,0.003,0.002,M,D,,Q,M,O,552.0,2.0,2
MD9704070003AJCA1,AJ,102,Carbaryl,E,0.013,0.008,M,M,,Q,H,O,553.0,12.0,10
MD9705080001AJCA1,AJ,171,Dimethoate,C,0.016,0.002,M,D,,,M,O,552.0,2.0,2
MD9706110001AJCA1,AJ,204,Acephate,C,0.003,0.002,M,D,,QV,M,O,552.0,2.0,NT
MD9706110002AJCA1,AJ,171,Dimethoate,C,0.003,0.002,M,D,,Q,M,O,552.0,2.0,2
MD9706110005AJCA1,AJ,157,Thiabendazole,B,0.049,0.03,M,MO,,,H,O,550.0,7.0,10
MD9707210002AJCA1,AJ,157,Thiabendazole,B,0.05,0.03,M,MO,,Q,H,O,550.0,7.0,10
MD9707210005AJCA1,AJ,157,Thiabendazole,B,0.29,0.03,M,MO,,,H,O,550.0,7.0,10
MD9710010002AJCA1,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,H,O,550.0,7.0,10
MD9711100001AJCA1,AJ,171,Dimethoate,C,0.003,0.002,M,D,,Q,M,O,552.0,2.0,2
MD9711100002AJCA1,AJ,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,H,O,550.0,7.0,25
MD9711100003AJUS1,AJ,157,Thiabendazole,B,0.042,0.025,M,D,,Q,H,O,600.0,11.0,10
MD9711100005AJCA1,AJ,157,Thiabendazole,B,0.15,0.03,M,MO,,,H,O,550.0,7.0,10
MD9706160003CCCA1,CC,102,Carbaryl,E,0.013,0.008,M,M,,Q,H,O,553.0,12.0,10
MD9712170005CCCA1,CC,626,Iprodione,A,0.035,0.021,M,D,M,Q,M,O,551.0,5.0,20
