Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
MN0109034047BAUS2C,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
MN0108274044BAUS2C,BA,050,Lindane (BHC gamma),A,0.0033,0.002,M,D,,Q,H,O,999,1.0,7 AL
MN0201144049BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65.0,0.3 AL
MN0201144049BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65.0,5 AL
MN0204294077BAUS2C,BA,902,Endosulfan sulfate,A,0.0302,0.0003,M,D,,,H,O,999,65.0,0.2
MN0204294077BAUS2C,BA,910,"DDE p,p'",A,1.1,0.0027,M,D,,,H,O,999,65.0,5 AL
MN0201144049BAUS2S,BA,143,Heptachlor epoxide,A,0.0013,0.0008,M,D,,Q,H,O,999,65.0,0.2 AL
MN0204084044BAUS2C,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65.0,0.3 AL
MN0204294077BAUS2C,BA,906,"DDT p,p'",A,0.0089,0.0011,M,D,,,H,O,999,65.0,5 AL
MN0207084044BAUS2C,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65.0,0.3 AL
MN0206034047BAUS2C,BA,028,Dieldrin,A,0.0073,0.0013,M,D,,,H,O,999,65.0,0.3 AL
MN0206034047BAUS2C,BA,321,Hexachlorobenzene (HCB),A,0.0074,0.001,M,D,,V,H,O,999,65.0,NT
MN0502214524KAUS2G,KA,910,"DDE p,p'",A,0.0038,0.0009,M,M ,,,SM,O,818,7.0,5 AL
MN0504054524KAUS2B,KA,910,"DDE p,p'",A,0.0015,0.0009,M,M ,,Q ,SM,O,818,7.0,5 AL
MN0505314524KAUS2G,KA,910,"DDE p,p'",A,0.0015,0.0009,M,M ,,Q ,SM,O,818,7.0,5 AL
MN0606273186PTUS2,PT,070,Piperonyl butoxide,I,0.0075,0.0045,M,M,,Q,SM,O,818,7.0,3
MN0601095001WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,13.0,1.6,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,B46,Clopyralid,G,12.0,3.4,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,026,"2,4-D",G,8.8,0.65,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,5.3,3.2,T,LT,,Q,H,O,811,62.0,
MN0601095001WRMT1,WR,785,Desisopropyl atrazine,R,5.2,3.1,T,LT,,Q,H,O,811,62.0,
MN0601095001WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,3.1,0.61,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,942,Prometon,R,0.67,0.17,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,964,Desethyl atrazine,R,24.0,0.43,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,22.0,0.68,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,305,Atrazine,R,19.0,0.66,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,18.0,1.7,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,AED,Hydroxy atrazine,R,16.0,1.2,T,LT,,,H,O,811,62.0,
MN0601235001WRMT1,WR,964,Desethyl atrazine,R,26.0,0.43,T,LT,,,H,O,811,62.0,
MN0601235001WRMT1,WR,ABO,Acetochlor oxanilic acid (OA),A,20.0,0.68,T,LT,,,H,O,811,62.0,
MN0601235001WRMT1,WR,305,Atrazine,R,17.0,0.66,T,LT,,,H,O,811,62.0,
MN0601235001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,16.0,0.36,T,LT,,,H,O,811,62.0,
MN0601235001WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,16.0,1.7,T,LT,,,H,O,811,62.0,
MN0601095001WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,14.0,0.36,T,LT,,,H,O,811,62.0,
MN0601235001WRMT1,WR,942,Prometon,R,0.59,0.17,T,LT,,,H,O,811,62.0,
MN0602135001WRMT1,WR,ABN,Acetochlor ethanesulfonic acid (ESA),A,11.0,1.6,T,LT,,,H,O,811,62.0,
MN0602275001WRMT1,WR,ACH,Metolachlor oxanilic acid (OA),A,5.3,3.2,T,LT,,Q,H,O,811,62.0,
MN0603135001WRMT1,WR,785,Desisopropyl atrazine,R,11.0,3.1,T,LT,,,H,O,811,62.0,
MN0603275001WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,2.0,0.61,T,LT,,,H,O,811,62.0,
MN0604105001WRMT1,WR,ABQ,Alachlor oxanilic acid (OA),A,1.02,0.61,T,LT,,Q,H,O,811,62.0,
MN0604245001WRMT1,WR,026,"2,4-D",G,1.08,0.65,T,LT,,Q,H,O,811,62.0,
