Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
MO9501260008WHUS3,WH,052,Malathion,C,0.014,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502020002WHUS3,WH,235,Chlorpyrifos methyl,C,0.037,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502020002WHUS3,WH,052,Malathion,C,0.016,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502020011WHUS3,WH,052,Malathion,C,0.015,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502030001WHUS3,WH,052,Malathion,C,0.24,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502030220WHUS3,WH,052,Malathion,C,0.081,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502060009WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9502060018WHUS3,WH,024,Diazinon,C,0.007,0.004,M,MO,,Q,H,O,999.0,99.0,0.05
MO9502060018WHUS3,WH,052,Malathion,C,0.599,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502070010WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9502080003WHUS3,WH,235,Chlorpyrifos methyl,C,0.137,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502090006WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9502090007WHUS3,WH,052,Malathion,C,0.306,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502090050WHUS3,WH,235,Chlorpyrifos methyl,C,0.114,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502110243WHUS3,WH,235,Chlorpyrifos methyl,C,0.144,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502130005WHUS3,WH,052,Malathion,C,0.032,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502130012WHUS3,WH,235,Chlorpyrifos methyl,C,0.004,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502140015WHUS3,WH,235,Chlorpyrifos methyl,C,0.014,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502140249WHUS3,WH,052,Malathion,C,0.195,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502150004WHUS3,WH,235,Chlorpyrifos methyl,C,0.315,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502160013WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9502170014WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9502170014WHUS3,WH,235,Chlorpyrifos methyl,C,0.03,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502170019WHUS3,WH,052,Malathion,C,0.021,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502170023WHUS3,WH,235,Chlorpyrifos methyl,C,0.034,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502220021WHUS3,WH,235,Chlorpyrifos methyl,C,0.154,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502220033WHUS3,WH,235,Chlorpyrifos methyl,C,0.085,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502220033WHUS3,WH,052,Malathion,C,0.078,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502220248WHUS3,WH,052,Malathion,C,0.023,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502220251WHUS3,WH,235,Chlorpyrifos methyl,C,0.319,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502230245WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9502270022WHUS3,WH,160,Chlorpyrifos,C,0.005,0.003,M,MO,,Q,H,O,999.0,99.0,0.5
MO9502270022WHUS3,WH,235,Chlorpyrifos methyl,C,0.142,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502270024WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9502270024WHUS3,WH,235,Chlorpyrifos methyl,C,0.017,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502270041WHUS3,WH,160,Chlorpyrifos,C,0.015,0.003,M,MO,,,H,O,999.0,99.0,0.5
MO9502270041WHUS3,WH,235,Chlorpyrifos methyl,C,0.984,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502270073WHUS3,WH,235,Chlorpyrifos methyl,C,0.005,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502270258WHUS3,WH,052,Malathion,C,0.011,0.003,M,MO,,,H,O,999.0,99.0,8
MO9502270258WHUS3,WH,235,Chlorpyrifos methyl,C,0.548,0.001,M,MO,,,H,O,999.0,99.0,6
MO9502280043WHUS3,WH,235,Chlorpyrifos methyl,C,0.014,0.001,M,MO,,,H,O,999.0,99.0,6
MO9503010044WHUS3,WH,052,Malathion,C,1.22,0.003,M,MO,,,H,O,999.0,99.0,8
MO9503010044WHUS3,WH,235,Chlorpyrifos methyl,C,0.383,0.001,M,MO,,,H,O,999.0,99.0,6
MO9503030035WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9503030037WHUS3,WH,235,Chlorpyrifos methyl,C,0.04,0.001,M,MO,,,H,O,999.0,99.0,6
MO9503030042WHUS3,WH,052,Malathion,C,2.776,0.003,M,MO,,,H,O,999.0,99.0,8
MO9503030045WHUS3,WH,052,Malathion,C,0.173,0.003,M,MO,,,H,O,999.0,99.0,8
MO9503030252WHUS3,WH,235,Chlorpyrifos methyl,C,0.004,0.001,M,MO,,,H,O,999.0,99.0,6
MO9503060049WHUS3,WH,052,Malathion,C,0.006,0.003,M,MO,,Q,H,O,999.0,99.0,8
MO9503090036WHUS3,WH,052,Malathion,C,0.156,0.003,M,MO,,,H,O,999.0,99.0,8
MO9503090036WHUS3,WH,235,Chlorpyrifos methyl,C,0.155,0.001,M,MO,,,H,O,999.0,99.0,6
MO9503100048WHUS3,WH,235,Chlorpyrifos methyl,C,0.002,0.001,M,MO,,Q,H,O,999.0,99.0,6
MO9503100048WHUS3,WH,052,Malathion,C,0.018,0.003,M,MO,,,H,O,999.0,99.0,8
MO9503100064WHUS3,WH,235,Chlorpyrifos methyl,C,0.032,0.001,M,MO,,,H,O,999.0,99.0,6
