Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
NE0108204010BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0108204019BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0110094009BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0110224022BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0107164011BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0107234011BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0107304009BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0107304010BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0107304018BAUS2H,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0108134010BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0108134011BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0108204005BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0108204010BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0108204019BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0109244009BAUS2S,BA,050,Lindane (BHC gamma),A,0.0033,0.002,M,D,,Q,H,O,999,1.0,7 AL
NE0110094009BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0110154011BAUS2H,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
NE0110154019BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0110154036BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
NE0110224022BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
