Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
NC9401180003APCA1,AP,102,Carbaryl,E,0.14,0.015,M,M,,,H,O,,,10
NC9401180003APCA1,AP,623,Propargite,I,0.12,0.02,M,M,,,H,O,,,3
NC9401180003APCA1,AP,115,Endosulfans Total,A,0.01,0.005,M,D,,Q,M,O,,,2
NC9401180003APCA1,AP,125,Diphenylamine (DPA),F,0.017,0.01,M,M,,Q,H,O,,,10
NC9401180003APCA1,AP,178,Omethoate,C,0.015,0.003,M,D,,,M,O,,,2
NC9401180003APCA1,AP,171,Dimethoate,C,0.045,0.003,M,D,,,M,O,,,2
NC9401180006APCA1,AP,171,Dimethoate,C,0.071,0.003,M,D,M,,M,O,,,2
NC9401180006APCA1,AP,159,Methomyl,E,0.058,0.015,M,,,,H,O,,,1
NC9401180006APCA1,AP,178,Omethoate,C,0.013,0.003,M,D,,,M,O,,,2
NC9401180006APCA1,AP,125,Diphenylamine (DPA),F,0.017,0.01,M,M,,Q,H,O,,,10
NC9401180006APCA1,AP,623,Propargite,I,0.18,0.02,M,M,,,H,O,,,3
NC9401180007APUS1,AP,192,Benomyl,B,0.11,0.05,M,D,,,H,O,,,7
NC9401180013APCA1,AP,042,Azinphos methyl,C,0.09,0.02,M,D,M,,M,O,,,2
NC9401180013APCA1,AP,157,Thiabendazole,B,2.0,0.03,M,M,,,H,O,,,10
NC9401180013APCA1,AP,125,Diphenylamine (DPA),F,0.017,0.01,M,M,,Q,H,O,,,10
NC9402160005APCA1,AP,157,Thiabendazole,B,0.49,0.03,M,M,,,H,O,,,10
NC9402160005APCA1,AP,125,Diphenylamine (DPA),F,2.2,0.01,M,M,,,H,O,,,10
NC9402160005APCA1,AP,165,Phosmet,C,0.017,0.01,M,D,M,Q,M,O,,,10
NC9402160006APCA1,AP,165,Phosmet,C,0.12,0.01,M,D,M,,M,O,,,10
NC9402160006APCA1,AP,125,Diphenylamine (DPA),F,0.81,0.01,M,M,,,H,O,,,10
NC9402160008APCA1,AP,157,Thiabendazole,B,0.45,0.03,M,M,,,H,O,,,10
NC9402160008APCA1,AP,623,Propargite,I,0.06,0.02,M,M,,,H,O,,,3
NC9402160008APCA1,AP,042,Azinphos methyl,C,0.033,0.02,M,D,M,Q,M,O,,,2
NC9402160013APCA1,AP,157,Thiabendazole,B,0.57,0.03,M,M,,,H,O,,,10
NC9402160013APCA1,AP,125,Diphenylamine (DPA),F,0.41,0.01,M,M,,,H,O,,,10
NC9402160013APCA1,AP,623,Propargite,I,0.096,0.02,M,M,,,H,O,,,3
NC9403070001APUS2,AP,723,Formetanate hydrochloride,E,0.05,0.05,M,,,Q,H,O,,,3
NC9403070001APCA1,AP,125,Diphenylamine (DPA),F,0.14,0.01,M,M,,,H,O,,,10
NC9403070001APCA1,AP,057,Parathion methyl,C,0.005,0.003,M,D,,Q,M,O,,,1
NC9403070001APCA1,AP,011,Captan,A,0.013,0.008,M,D,,Q,M,O,,,25
NC9403070005APCA1,AP,157,Thiabendazole,B,0.25,0.03,M,M,,,H,O,,,10
NC9403070005APCA1,AP,125,Diphenylamine (DPA),F,0.7,0.01,M,M,,,H,O,,,10
NC9403070005APCA1,AP,057,Parathion methyl,C,0.018,0.003,M,D,,,M,O,,,1
NC9403070007APCA1,AP,157,Thiabendazole,B,0.31,0.03,M,M,,,H,O,,,10
NC9403070011APCA1,AP,623,Propargite,I,1.3,0.02,M,M,,,H,O,,,3
NC9403070011APUS1,AP,192,Benomyl,B,0.35,0.05,M,D,,,H,O,,,7
NC9403070011APCA1,AP,160,Chlorpyrifos,C,0.005,0.003,M,D,,Q,M,O,,,1.5
NC9403070011APCA1,AP,047,Dicofol Total,A,0.033,0.02,M,M,,Q,M,O,,,5
NC9403070011APCA1,AP,011,Captan,A,0.14,0.008,M,D,M,,M,O,,,25
NC9404200005APTX1,AP,125,Diphenylamine (DPA),F,0.69,0.008,M,MO,,,H,O,,,10
NC9404200005APTX1,AP,157,Thiabendazole,B,0.3,0.18,M,D,M,Q,M,O,,,10
NC9404200006APTX1,AP,623,Propargite,I,0.15,0.087,M,D,M,Q,M,O,,,3
NC9404200006APTX1,AP,011,Captan,A,0.13,0.012,M,D,M,,H,O,,,25
NC9404200008APTX1,AP,115,Endosulfans Total,A,0.036,0.007,M,MO,,Q,H,O,,,2
NC9404200008APTX1,AP,125,Diphenylamine (DPA),F,0.17,0.008,M,MO,,,H,O,,,10
NC9404200013APTX1,AP,125,Diphenylamine (DPA),F,0.31,0.008,M,MO,,,H,O,,,10
NC9404200013APUS1,AP,192,Benomyl,B,0.15,0.05,M,D,,,H,O,,,7
NC9404200013APTX1,AP,011,Captan,A,0.02,0.012,M,D,,Q,H,O,,,25
NC9405090005APCA1,AP,125,Diphenylamine (DPA),F,0.88,0.01,M,M,,,H,O,,,10
NC9405090005APCA1,AP,178,Omethoate,C,0.005,0.003,M,D,,Q,M,O,,,2
NC9405090005APCA1,AP,171,Dimethoate,C,0.005,0.003,M,D,,Q,M,O,,,2
NC9405090005APCA1,AP,157,Thiabendazole,B,0.05,0.03,M,M,,Q,H,O,,,10
NC9405090007APCA1,AP,157,Thiabendazole,B,0.3,0.03,M,M,,,H,O,,,10
NC9405090010APCA1,AP,125,Diphenylamine (DPA),F,0.14,0.01,M,M,,,H,O,,,10
NC9405090010APCA1,AP,157,Thiabendazole,B,0.96,0.03,M,M,,,H,O,,,10
NC9405090010APCA1,AP,102,Carbaryl,E,0.025,0.015,M,M,,Q,H,O,,,10
NC9406080002APCA1,AP,157,Thiabendazole,B,0.3,0.03,M,M,,,H,O,,,10
NC9406080002APCA1,AP,125,Diphenylamine (DPA),F,0.59,0.01,M,M,,,H,O,,,10
NC9406080002APCA1,AP,102,Carbaryl,E,0.055,0.015,M,M,,,H,O,,,10
NC9406080006APUS1,AP,192,Benomyl,B,0.084,0.05,M,D,,Q,H,O,,,7
NC9406080006APCA1,AP,623,Propargite,I,0.072,0.02,M,M,,,H,O,,,3
NC9406080006APCA1,AP,178,Omethoate,C,0.032,0.003,M,D,,,M,O,,,2
NC9406080006APCA1,AP,171,Dimethoate,C,0.19,0.003,M,D,M,,M,O,,,2
NC9406080007APCA1,AP,623,Propargite,I,0.32,0.02,M,M,,,H,O,,,3
NC9406080012APCA1,AP,178,Omethoate,C,0.005,0.003,M,D,,Q,M,O,,,2
NC9406080012APCA1,AP,102,Carbaryl,E,0.058,0.015,M,M,,,H,O,,,10
NC9406080012APCA1,AP,115,Endosulfans Total,A,0.045,0.005,M,D,,,M,O,,,2
NC9406080012APCA1,AP,171,Dimethoate,C,0.037,0.003,M,D,M,,M,O,,,2
NC9406080012APCA1,AP,055,Methoxychlor Total,A,0.033,0.02,M,D,M,Q,M,O,,,14
NC9406080012APCA1,AP,042,Azinphos methyl,C,0.033,0.02,M,D,,Q,M,O,,,2
NC9406080012APCA1,AP,125,Diphenylamine (DPA),F,0.66,0.01,M,M,,,H,O,,,10
NC9407270001APCA1,AP,125,Diphenylamine (DPA),F,0.72,0.01,M,MO,,,H,O,,,10
NC9407270001APCA1,AP,157,Thiabendazole,B,4.7,0.03,M,MO,,,H,O,,,10
NC9407270001APCA1,AP,055,Methoxychlor Total,A,0.033,0.02,M,D,M,Q,M,O,,,14
NC9407270007APCA1,AP,623,Propargite,I,0.26,0.02,M,MO,,,H,O,,,3
NC9407270007APCA1,AP,011,Captan,A,0.21,0.008,M,D,,,M,O,,,25
NC9407270007APCA1,AP,178,Omethoate,C,0.005,0.003,M,D,,Q,M,A,,,2
NC9407270007APCA1,AP,125,Diphenylamine (DPA),F,2.8,0.01,M,MO,,,H,O,,,10
NC9407270011APCA1,AP,125,Diphenylamine (DPA),F,0.41,0.01,M,MO,,,H,O,,,10
NC9408300005APCA1,AP,623,Propargite,I,0.11,0.02,M,M,,,H,O,,,3
NC9408300005APCA1,AP,125,Diphenylamine (DPA),F,1.3,0.01,M,M,,,H,O,,,10
NC9408300005APCA1,AP,165,Phosmet,C,0.017,0.01,M,D,M,Q,M,O,,,10
NC9408300013APCA1,AP,125,Diphenylamine (DPA),F,0.9,0.01,M,M,,,H,O,,,10
NC9408300013APCA1,AP,157,Thiabendazole,B,0.32,0.03,M,M,,,H,O,,,10
NC9409120005APCA1,AP,057,Parathion methyl,C,0.005,0.003,M,D,,Q,M,O,,,1
NC9409120005APCA1,AP,125,Diphenylamine (DPA),F,3.1,0.01,M,MO,,,H,O,,,10
NC9409120005APCA1,AP,157,Thiabendazole,B,0.45,0.03,M,MO,,,H,O,,,10
NC9409120007APUS1,AP,192,Benomyl,B,0.084,0.05,M,D,,Q,H,O,,,7
NC9409120007APCA1,AP,537,Oxamyl,E,0.064,0.015,M,,,,H,O,,,2
NC9409120008APCA1,AP,623,Propargite,I,0.15,0.02,M,MO,,,H,O,,,3
NC9409120008APUS1,AP,192,Benomyl,B,0.084,0.05,M,D,,Q,H,O,,,7
