Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
PA0109034025BAUS2C,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
PA0111264028BAUS2S,BA,910,"DDE p,p'",A,0.0132,0.0027,M,D,,,H,O,999,1.0,5 AL
PA0112174062BAUS2C,BA,028,Dieldrin,A,0.0067,0.0013,M,D,,,H,O,999,1.0,0.3 AL
PA0112174062BAUS2C,BA,910,"DDE p,p'",A,0.039,0.0027,M,D,,,H,O,999,1.0,5 AL
PA0112174062BAUS2C,BA,173,Chlordane cis,A,0.0007,0.0004,M,D,,Q,H,O,999,1.0,0.3 AL
PA0112174062BAUS2C,BA,172,Chlordane trans,A,0.0025,0.0015,M,D,,Q,H,O,999,1.0,0.3 AL
PA0112174062BAUS2C,BA,349,Oxychlordane,A,0.0038,0.0005,M,D,,,H,O,999,1.0,0.3 AL
PA0109034025BAUS2C,BA,902,Endosulfan sulfate,A,0.0032,0.0003,M,D,,,H,O,999,1.0,0.2
PA0109104028BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
PA0111264028BAUS2S,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
PA0112174062BAUS2C,BA,143,Heptachlor epoxide,A,0.0076,0.0008,M,D,,,H,O,999,1.0,0.2 AL
PA0112034028BAUS2S,BA,910,"DDE p,p'",A,0.0094,0.0027,M,D,,,H,O,999,1.0,5 AL
PA0203184025BAUS2C,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65.0,0.3 AL
PA0204014028BAUS2H,BA,028,Dieldrin,A,0.0057,0.0013,M,D,,,H,O,999,65.0,0.3 AL
PA0201284025BAUS2C,BA,902,Endosulfan sulfate,A,0.0239,0.0003,M,D,,,H,O,999,65.0,0.2
PA0203114025BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65.0,5 AL
