Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
SC0107304045BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
SC0110224045BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1.0,5 AL
SC0107304045BAUS2C,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
SC0110224045BAUS2C,BA,028,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1.0,0.3 AL
SC0202184045BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65.0,5 AL
SC0504124506KAUS2B,KA,160,Chlorpyrifos,C,0.0025,0.0015,M,C ,M ,Q ,SM,O,818,66.0,0.2
SC0501204506KMUS2G,KM,102,Carbaryl,E,0.0005,0.0003,M,LT,,Q ,SM,O,818,62.0,0.1
SC0601095001WRNY1,WR,149,Simazine,R,6.3,3.8,T,T,,Q,H,O,901,34.0,
SC0601095001WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
SC0601095001WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
SC0601095001WRNY1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,20.0,12.0,T,LT,,Q,M,O,903,64.0,
SC0601095001WRNY1,WR,305,Atrazine,R,15.0,2.3,T,T,,,H,O,901,34.0,
SC0601235001WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
SC0601235001WRNY1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,20.0,12.0,T,LT,,Q,M,O,903,64.0,
SC0601235001WRNY1,WR,305,Atrazine,R,16.0,2.3,T,T,,,H,O,901,34.0,
SC0601235001WRNY1,WR,149,Simazine,R,6.3,3.8,T,T,,Q,H,O,901,34.0,
SC0601235001WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
SC0602135001WRNY1,WR,149,Simazine,R,6.3,3.8,T,T,,Q,H,O,901,34.0,
SC0602135001WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
SC0602135001WRNY1,WR,ACB,Imazapyr,J,3.5,0.9,T,LT,,,M,O,902,62.0,
SC0602135001WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
SC0602135001WRNY1,WR,780,Tebuthiuron,F,1.0,0.6,T,LT,,Q,M,O,902,62.0,
SC0602135001WRNY1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,20.0,12.0,T,LT,,Q,M,O,903,64.0,
SC0602275001WRNY1,WR,780,Tebuthiuron,F,1.0,0.6,T,LT,,Q,M,O,902,62.0,
SC0602275001WRNY1,WR,305,Atrazine,R,14.0,2.3,T,T,,,H,O,901,34.0,
SC0602275001WRNY1,WR,149,Simazine,R,14.0,3.8,T,T,,,H,O,901,34.0,
SC0602275001WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
SC0602275001WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
SC0603135001WRNY1,WR,942,Prometon,R,2.5,1.5,T,T,,Q,H,O,901,34.0,
SC0603135001WRNY1,WR,780,Tebuthiuron,F,1.0,0.6,T,LT,,Q,M,O,902,62.0,
SC0603135001WRNY1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,20.0,12.0,T,LT,,Q,M,O,903,64.0,
SC0603135001WRNY1,WR,305,Atrazine,R,16.0,2.3,T,T,,,H,O,901,34.0,
SC0603135001WRNY1,WR,149,Simazine,R,6.3,3.8,T,T,,Q,H,O,901,34.0,
SC0603135001WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
SC0603275001WRNY1,WR,026,"2,4-D",G,6.0,3.6,T,LT,,Q,M,O,902,62.0,
SC0603275001WRNY1,WR,ACB,Imazapyr,J,4.4,0.9,T,LT,,,M,O,902,62.0,
SC0603275001WRNY1,WR,780,Tebuthiuron,F,1.0,0.6,T,LT,,Q,M,O,902,62.0,
SC0603275001WRNY1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,20.0,12.0,T,LT,,Q,M,O,903,64.0,
SC0603275001WRNY1,WR,305,Atrazine,R,14.0,2.3,T,T,,,H,O,901,34.0,
SC0603275001WRNY1,WR,942,Prometon,R,6.9,1.5,T,T,,,H,O,901,34.0,
SC0604105001WRNY1,WR,942,Prometon,R,6.0,1.5,T,T,,,H,O,901,34.0,
SC0604105001WRNY1,WR,ACB,Imazapyr,J,1.5,0.9,T,LT,,Q,M,O,902,62.0,
SC0604105001WRNY1,WR,780,Tebuthiuron,F,1.0,0.6,T,LT,,Q,M,O,902,62.0,
