Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
VA0501104505KAUS2G,KA,382,1-Naphthol,E,0.188,0.003,M,M ,,X ,TU,O,818,7.0,0.1
VA0506014515KAUS2G,KA,910,"DDE p,p'",A,0.0015,0.0009,M,M ,,Q ,SM,O,818,7.0,5 AL
VA0501104505KAUS2G,KA,102,Carbaryl,E,0.0986,0.0006,M,LT,,,SM,O,818,62.0,0.1
VA0605083010PRUS2,PR,058,MGK-264,F,0.063,0.003,M,M,,V,SM,O,818,7.0,NT
VA0605083010PRUS2,PR,070,Piperonyl butoxide,I,0.056,0.0045,M,M,,,SM,O,818,7.0,3
VA0605083010PTUS2,PT,070,Piperonyl butoxide,I,0.064,0.0045,M,M,,,SM,O,818,7.0,3
VA0605083010PRUS2,PR,075,Pyrethrins,A,0.1,0.06,M,M,,Q,SM,O,818,7.0,0.2
VA0605083010PTUS2,PT,058,MGK-264,F,0.07,0.003,M,M,,V,SM,O,818,7.0,NT
VA0702265503WGMN1,WG,964,Desethyl atrazine,R,17.0,10.0,T,M,,Q,SH,O,999,7.0,
VA0702265503WGMN1,WG,305,Atrazine,R,17.0,10.0,T,M,,Q,SH,O,999,7.0,
VA0702265503WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,5090.0,3.0,T,LU,,,H,R,999,52.0,
VA0702265503WGMN1,WG,ACH,Metolachlor oxanilic acid (OA),A,270.0,3.0,T,LU,,,H,R,999,52.0,
VA0702265503WGMN1,WG,283,Metolachlor,A,115.0,15.0,T,M,,,SH,O,999,7.0,
VA0705075503WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,61.6,12.5,T,LU,,,H,O,999,52.0,
VA0705075503WGMN1,WG,964,Desethyl atrazine,R,17.0,10.0,T,M,,Q,SH,O,999,7.0,
VA0705075503WGMN1,WG,ACG,Metolachlor ethanesulfonic acid (ESA),A,1300.0,3.0,T,LU,,,H,O,999,52.0,
VA0707185502WGMN1,WG,ABP,Alachlor ethanesulfonic acid (ESA),A,20.8,12.5,T,LU,,Q,H,O,999,52.0,
