Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
WA9401240001APWA1,AP,102,Carbaryl,E,0.06,0.036,M,D,,Q,,O,,,10
WA9401240001APWA1,AP,125,Diphenylamine (DPA),F,0.55,0.076,M,M,,,M,O,,,10
WA9401240001APWA1,AP,042,Azinphos methyl,C,0.11,0.033,M,A,,,M,O,,,2
WA9401240003APWA1,AP,055,Methoxychlor Total,A,0.035,0.021,M,D,M,Q,,O,,,14
WA9401240003APWA1,AP,157,Thiabendazole,B,0.47,0.061,M,A,,,M,O,,,10
WA9401240004APWA1,AP,125,Diphenylamine (DPA),F,2.4,0.076,M,M,,,M,O,,,10
WA9401240004APWA1,AP,157,Thiabendazole,B,0.8,0.061,M,A,,,M,O,,,10
WA9401240008APWA1,AP,160,Chlorpyrifos,C,0.078,0.007,M,D,M,,M,O,,,1.5
WA9401240008APUS1,AP,192,Benomyl,B,0.05,0.05,M,D,,,H,O,,,7
WA9401240008APWA1,AP,157,Thiabendazole,B,0.84,0.061,M,A,,,M,O,,,10
WA9401240008APWA1,AP,125,Diphenylamine (DPA),F,4.1,0.076,M,M,,,M,O,,,10
WA9402150002APWA1,AP,157,Thiabendazole,B,0.31,0.061,M,D,,,M,O,,,10
WA9402150002APWA1,AP,171,Dimethoate,C,0.075,0.016,M,D,,,M,O,,,2
WA9402150004APWA1,AP,102,Carbaryl,E,0.06,0.036,M,D,M,Q,,O,,,10
WA9402150004APWA1,AP,157,Thiabendazole,B,0.42,0.061,M,D,,,M,O,,,10
WA9402150005APWA1,AP,157,Thiabendazole,B,0.29,0.061,M,D,,,M,O,,,10
WA9402150005APWA1,AP,042,Azinphos methyl,C,0.2,0.033,M,D,,,M,O,,,2
WA9403070003APWA1,AP,157,Thiabendazole,B,0.31,0.061,M,A,,,M,O,,,10
WA9403070010APWA1,AP,157,Thiabendazole,B,0.075,0.061,M,D,,,M,O,,,10
WA9404260002APWA1,AP,157,Thiabendazole,B,0.45,0.061,M,A,,,M,O,,,10
WA9404260004APWA1,AP,055,Methoxychlor Total,A,0.25,0.021,M,D,M,,M,O,,,14
WA9404260004APWA1,AP,157,Thiabendazole,B,1.27,0.061,M,A,M,,M,O,,,10
WA9404260004APWA1,AP,125,Diphenylamine (DPA),F,0.05,0.076,M,,,Q,,O,,,10
WA9404260005APWA1,AP,157,Thiabendazole,B,4.0,0.061,M,A,,,M,O,,,10
WA9405180003APWA1,AP,157,Thiabendazole,B,0.44,0.061,M,A,D,,M,O,,,10
WA9405180008APWA1,AP,157,Thiabendazole,B,0.44,0.061,M,A,D,,M,O,,,10
