State,Pesticide,Count
Texas,Atrazine,243
Texas,Thiabendazole,3248
Texas,Pyraclostrobin,1812
Texas,Imidacloprid,3303
Texas,Desethyl atrazine,152
Oklahoma,Atrazine,0
Oklahoma,Thiabendazole,0
Oklahoma,Pyraclostrobin,0
Oklahoma,Imidacloprid,0
Oklahoma,Desethyl atrazine,0
Missouri,Atrazine,213
Missouri,Thiabendazole,7
Missouri,Pyraclostrobin,26
Missouri,Imidacloprid,8
Missouri,Desethyl atrazine,140
Illinois,Atrazine,191
Illinois,Thiabendazole,0
Illinois,Pyraclostrobin,0
Illinois,Imidacloprid,24
Illinois,Desethyl atrazine,190
Indiana,Atrazine,68
Indiana,Thiabendazole,0
Indiana,Pyraclostrobin,0
Indiana,Imidacloprid,14
Indiana,Desethyl atrazine,44
Ohio,Atrazine,515
Ohio,Thiabendazole,2424
Ohio,Pyraclostrobin,1393
Ohio,Imidacloprid,2124
Ohio,Desethyl atrazine,461
Louisiana,Atrazine,311
Louisiana,Thiabendazole,0
Louisiana,Pyraclostrobin,0
Louisiana,Imidacloprid,25
Louisiana,Desethyl atrazine,228
Mississippi,Atrazine,0
Mississippi,Thiabendazole,0
Mississippi,Pyraclostrobin,0
Mississippi,Imidacloprid,0
Mississippi,Desethyl atrazine,0
Alabama,Atrazine,265
Alabama,Thiabendazole,0
Alabama,Pyraclostrobin,0
Alabama,Imidacloprid,3
Alabama,Desethyl atrazine,175
Georgia,Atrazine,237
Georgia,Thiabendazole,0
Georgia,Pyraclostrobin,0
Georgia,Imidacloprid,7
Georgia,Desethyl atrazine,147
Florida,Atrazine,136
Florida,Thiabendazole,2752
Florida,Pyraclostrobin,1589
Florida,Imidacloprid,2344
Florida,Desethyl atrazine,109
South Carolina,Atrazine,60
South Carolina,Thiabendazole,0
South Carolina,Pyraclostrobin,0
South Carolina,Imidacloprid,3
South Carolina,Desethyl atrazine,10
North Carolina,Atrazine,440
North Carolina,Thiabendazole,285
North Carolina,Pyraclostrobin,106
North Carolina,Imidacloprid,176
North Carolina,Desethyl atrazine,434
Virginia,Atrazine,210
Virginia,Thiabendazole,0
Virginia,Pyraclostrobin,0
Virginia,Imidacloprid,131
Virginia,Desethyl atrazine,156
Maryland,Atrazine,150
Maryland,Thiabendazole,1522
Maryland,Pyraclostrobin,1022
Maryland,Imidacloprid,1217
Maryland,Desethyl atrazine,122
Pennsylvania,Atrazine,168
Pennsylvania,Thiabendazole,0
Pennsylvania,Pyraclostrobin,0
Pennsylvania,Imidacloprid,2
Pennsylvania,Desethyl atrazine,167
New York,Atrazine,658
New York,Thiabendazole,3752
New York,Pyraclostrobin,2065
New York,Imidacloprid,3581
New York,Desethyl atrazine,412
Vermont,Atrazine,0
Vermont,Thiabendazole,0
Vermont,Pyraclostrobin,0
Vermont,Imidacloprid,0
Vermont,Desethyl atrazine,0
California,Atrazine,48
California,Thiabendazole,6489
California,Pyraclostrobin,2988
California,Imidacloprid,4734
California,Desethyl atrazine,28
Oregon,Atrazine,4
Oregon,Thiabendazole,4
Oregon,Pyraclostrobin,0
Oregon,Imidacloprid,3
Oregon,Desethyl atrazine,8
Washington,Atrazine,59
Washington,Thiabendazole,1842
Washington,Pyraclostrobin,886
Washington,Imidacloprid,1470
Washington,Desethyl atrazine,144
Nebraska,Atrazine,127
Nebraska,Thiabendazole,0
Nebraska,Pyraclostrobin,0
Nebraska,Imidacloprid,0
Nebraska,Desethyl atrazine,135
Kansas,Atrazine,202
Kansas,Thiabendazole,0
Kansas,Pyraclostrobin,0
Kansas,Imidacloprid,2
Kansas,Desethyl atrazine,177
Minnesota,Atrazine,238
Minnesota,Thiabendazole,0
Minnesota,Pyraclostrobin,0
Minnesota,Imidacloprid,1
Minnesota,Desethyl atrazine,203
